timestamp,server_id,cpu_percent,region
2023-01-03T01:00:00,srv-10,85.1,ap-northeast-1
2023-01-03T02:00:00,srv-2,51.6,us-east-1
2023-01-03T03:00:00,srv-6,95.0,ap-northeast-1
2023-01-03T04:00:00,srv-10,10.2,eu-west-1
2023-01-03T05:00:00,srv-1,32.0,us-east-1
2023-01-03T06:00:00,srv-6,82.0,ap-northeast-1
2023-01-03T07:00:00,srv-6,16.0,eu-west-1
2023-01-03T08:00:00,srv-1,91.6,eu-west-1
2023-01-03T09:00:00,srv-10,11.4,ap-northeast-1
2023-01-03T10:00:00,srv-6,30.6,eu-west-1
2023-01-03T11:00:00,srv-5,31.9,eu-west-1
2023-01-03T12:00:00,srv-10,39.7,eu-west-1
2023-01-03T13:00:00,srv-7,21.2,ap-northeast-1
2023-01-03T14:00:00,srv-4,80.9,ap-northeast-1
2023-01-03T15:00:00,srv-9,58.5,us-east-1
2023-01-03T16:00:00,srv-9,84.8,ap-northeast-1
2023-01-03T17:00:00,srv-3,57.0,eu-west-1
2023-01-03T18:00:00,srv-10,48.7,ap-northeast-1
2023-01-03T19:00:00,srv-1,43.6,us-east-1
2023-01-03T20:00:00,srv-7,80.2,eu-west-1
2023-01-03T21:00:00,srv-4,56.3,eu-west-1
2023-01-03T22:00:00,srv-8,91.5,ap-northeast-1
2023-01-03T23:00:00,srv-10,50.5,us-east-1
2023-01-04T00:00:00,srv-7,85.4,us-east-1
2023-01-04T01:00:00,srv-10,56.6,ap-northeast-1
2023-01-04T02:00:00,srv-10,51.5,eu-west-1
2023-01-04T03:00:00,srv-2,60.0,us-east-1
2023-01-04T04:00:00,srv-4,88.8,eu-west-1
2023-01-04T05:00:00,srv-3,16.7,ap-northeast-1
2023-01-04T06:00:00,srv-10,70.5,us-east-1
2023-01-04T07:00:00,srv-9,79.1,eu-west-1
2023-01-04T08:00:00,srv-8,24.1,ap-northeast-1
2023-01-04T09:00:00,srv-3,75.7,eu-west-1
2023-01-04T10:00:00,srv-9,63.0,us-east-1
2023-01-04T11:00:00,srv-1,39.8,ap-northeast-1
2023-01-04T12:00:00,srv-6,68.2,eu-west-1
2023-01-04T13:00:00,srv-2,74.9,us-east-1
2023-01-04T14:00:00,srv-6,94.2,eu-west-1
2023-01-04T15:00:00,srv-10,47.2,us-east-1
2023-01-04T16:00:00,srv-8,28.9,ap-northeast-1
2023-01-04T17:00:00,srv-9,16.5,eu-west-1
2023-01-04T18:00:00,srv-8,29.8,eu-west-1
2023-01-04T19:00:00,srv-10,34.9,eu-west-1
2023-01-04T20:00:00,srv-6,33.3,us-east-1
2023-01-04T21:00:00,srv-4,18.8,eu-west-1
2023-01-04T22:00:00,srv-9,18.3,ap-northeast-1
2023-01-04T23:00:00,srv-1,91.3,eu-west-1
2023-01-05T00:00:00,srv-10,15.7,eu-west-1
2023-01-05T01:00:00,srv-8,19.6,ap-northeast-1
2023-01-05T02:00:00,srv-4,85.3,us-east-1
2023-01-05T03:00:00,srv-9,82.8,us-east-1
2023-01-05T04:00:00,srv-3,28.8,eu-west-1
2023-01-05T05:00:00,srv-3,48.8,eu-west-1
2023-01-05T06:00:00,srv-9,38.4,ap-northeast-1
2023-01-05T07:00:00,srv-5,78.6,us-east-1
2023-01-05T08:00:00,srv-7,17.0,eu-west-1
2023-01-05T09:00:00,srv-9,59.1,us-east-1
2023-01-05T10:00:00,srv-5,43.8,us-east-1
2023-01-05T11:00:00,srv-1,93.4,eu-west-1
2023-01-05T12:00:00,srv-7,57.0,ap-northeast-1
2023-01-05T13:00:00,srv-4,94.1,ap-northeast-1
2023-01-05T14:00:00,srv-9,78.4,ap-northeast-1
2023-01-05T15:00:00,srv-9,80.3,eu-west-1
2023-01-05T16:00:00,srv-1,66.3,ap-northeast-1
2023-01-05T17:00:00,srv-3,11.4,ap-northeast-1
2023-01-05T18:00:00,srv-5,61.7,us-east-1
2023-01-05T19:00:00,srv-4,94.6,eu-west-1
2023-01-05T20:00:00,srv-10,26.6,us-east-1
2023-01-05T21:00:00,srv-9,85.7,ap-northeast-1
2023-01-05T22:00:00,srv-7,59.5,us-east-1
2023-01-05T23:00:00,srv-10,82.4,ap-northeast-1
2023-01-06T00:00:00,srv-3,28.0,us-east-1
2023-01-06T01:00:00,srv-9,37.3,us-east-1
2023-01-06T02:00:00,srv-10,50.4,us-east-1
2023-01-06T03:00:00,srv-4,50.5,eu-west-1
2023-01-06T04:00:00,srv-2,64.5,us-east-1
2023-01-06T05:00:00,srv-9,55.6,ap-northeast-1
2023-01-06T06:00:00,srv-8,63.2,eu-west-1
2023-01-06T07:00:00,srv-6,33.9,eu-west-1
2023-01-06T08:00:00,srv-5,70.2,ap-northeast-1
2023-01-06T09:00:00,srv-5,33.5,us-east-1
2023-01-06T10:00:00,srv-10,37.1,ap-northeast-1
2023-01-06T11:00:00,srv-9,16.9,ap-northeast-1
2023-01-06T12:00:00,srv-9,61.6,us-east-1
2023-01-06T13:00:00,srv-8,71.7,us-east-1
2023-01-06T14:00:00,srv-8,67.6,us-east-1
2023-01-06T15:00:00,srv-10,31.7,us-east-1
2023-01-06T16:00:00,srv-7,33.0,ap-northeast-1
2023-01-06T17:00:00,srv-10,90.1,eu-west-1
2023-01-06T18:00:00,srv-2,57.0,ap-northeast-1
2023-01-06T19:00:00,srv-7,74.5,ap-northeast-1
2023-01-06T20:00:00,srv-10,23.7,eu-west-1
2023-01-06T21:00:00,srv-1,64.7,ap-northeast-1
2023-01-06T22:00:00,srv-2,40.2,us-east-1
2023-01-06T23:00:00,srv-9,15.6,us-east-1
2023-01-07T00:00:00,srv-1,31.2,eu-west-1
2023-01-07T01:00:00,srv-6,25.2,us-east-1
2023-01-07T02:00:00,srv-5,59.4,eu-west-1
2023-01-07T03:00:00,srv-1,74.1,eu-west-1
2023-01-07T04:00:00,srv-10,29.2,ap-northeast-1
2023-01-07T05:00:00,srv-4,82.6,eu-west-1
2023-01-07T06:00:00,srv-1,36.8,us-east-1
2023-01-07T07:00:00,srv-3,15.6,eu-west-1
2023-01-07T08:00:00,srv-3,88.3,us-east-1
2023-01-07T09:00:00,srv-7,57.0,ap-northeast-1
2023-01-07T10:00:00,srv-1,75.4,us-east-1
2023-01-07T11:00:00,srv-1,21.7,eu-west-1
2023-01-07T12:00:00,srv-6,21.5,us-east-1
2023-01-07T13:00:00,srv-9,33.7,us-east-1
2023-01-07T14:00:00,srv-6,39.3,eu-west-1
2023-01-07T15:00:00,srv-10,87.6,ap-northeast-1
2023-01-07T16:00:00,srv-7,90.0,us-east-1
2023-01-07T17:00:00,srv-9,13.0,ap-northeast-1
2023-01-07T18:00:00,srv-3,41.8,eu-west-1
2023-01-07T19:00:00,srv-8,56.2,ap-northeast-1
2023-01-07T20:00:00,srv-7,32.4,ap-northeast-1
2023-01-07T21:00:00,srv-6,59.2,us-east-1
2023-01-07T22:00:00,srv-3,37.9,ap-northeast-1
2023-01-07T23:00:00,srv-2,10.8,ap-northeast-1
2023-01-08T00:00:00,srv-3,70.3,eu-west-1
2023-01-08T01:00:00,srv-1,86.2,eu-west-1
2023-01-08T02:00:00,srv-4,32.1,ap-northeast-1
2023-01-08T03:00:00,srv-2,69.1,eu-west-1
2023-01-08T04:00:00,srv-4,49.6,eu-west-1
2023-01-08T05:00:00,srv-10,94.9,eu-west-1
2023-01-08T06:00:00,srv-2,22.1,us-east-1
2023-01-08T07:00:00,srv-2,32.7,ap-northeast-1
2023-01-08T08:00:00,srv-5,12.4,eu-west-1
2023-01-08T09:00:00,srv-3,10.2,eu-west-1
2023-01-08T10:00:00,srv-4,49.5,eu-west-1
2023-01-08T11:00:00,srv-6,45.3,us-east-1
2023-01-08T12:00:00,srv-8,84.1,us-east-1
2023-01-08T13:00:00,srv-7,56.4,ap-northeast-1
2023-01-08T14:00:00,srv-9,62.7,ap-northeast-1
2023-01-08T15:00:00,srv-1,75.5,us-east-1
2023-01-08T16:00:00,srv-2,28.7,ap-northeast-1
2023-01-08T17:00:00,srv-10,47.7,eu-west-1
2023-01-08T18:00:00,srv-2,37.1,us-east-1
2023-01-08T19:00:00,srv-10,32.3,eu-west-1
2023-01-08T20:00:00,srv-3,61.2,eu-west-1
2023-01-08T21:00:00,srv-5,87.6,eu-west-1
2023-01-08T22:00:00,srv-7,87.1,us-east-1
2023-01-08T23:00:00,srv-10,65.6,ap-northeast-1
2023-01-09T00:00:00,srv-8,73.8,eu-west-1
2023-01-09T01:00:00,srv-2,36.1,eu-west-1
2023-01-09T02:00:00,srv-10,15.1,eu-west-1
2023-01-09T03:00:00,srv-10,77.8,us-east-1
2023-01-09T04:00:00,srv-10,49.8,ap-northeast-1
2023-01-09T05:00:00,srv-10,13.7,us-east-1
2023-01-09T06:00:00,srv-7,69.7,ap-northeast-1
2023-01-09T07:00:00,srv-5,76.9,ap-northeast-1
