backend/db/validate.js:37 | is_deleted | WHERE tc.track_id = ? AND c.is_deleted = 0
backend/routes/courses.js:122 | is_deleted | COALESCE(uc.is_deleted, 0) AS is_deleted,
backend/routes/courses.js:123 | is_archived | COALESCE(uc.is_archived, 0) AS is_archived,
backend/routes/courses.js:148 | is_deleted | WHERE COALESCE(uc.is_deleted, 0) = 0 AND COALESCE(uc.is_archived, 0) = 0
backend/routes/courses.js:148 | is_archived | WHERE COALESCE(uc.is_deleted, 0) = 0 AND COALESCE(uc.is_archived, 0) = 0
backend/routes/courses.js:488 | was_correct | WHERE user_id = ? AND course_id = ? AND was_correct = 0
backend/routes/tracks.js:19 | is_deleted | COALESCE(ut.is_deleted, 0) AS is_deleted,
backend/routes/tracks.js:20 | is_archived | COALESCE(ut.is_archived, 0) AS is_archived,
backend/routes/tracks.js:28 | is_deleted | LEFT JOIN courses c ON c.id = tc.course_id AND COALESCE((SELECT uc2.is_deleted FROM user_courses uc2 WHERE uc2.course_id = c.id AND uc2.user_id = ?), 0) = 0 AND COALESCE((SELECT uc2.is_archived FROM user_courses uc2 WHERE uc2.course_id = c.id AND uc2.user_id = ?), 0) = 0
backend/routes/tracks.js:28 | is_archived | LEFT JOIN courses c ON c.id = tc.course_id AND COALESCE((SELECT uc2.is_deleted FROM user_courses uc2 WHERE uc2.course_id = c.id AND uc2.user_id = ?), 0) = 0 AND COALESCE((SELECT uc2.is_archived FROM user_courses uc2 WHERE uc2.course_id = c.id AND uc2.user_id = ?), 0) = 0
backend/routes/tracks.js:31 | is_deleted | WHERE COALESCE(ut.is_deleted, 0) = 0 AND COALESCE(ut.is_archived, 0) = 0
backend/routes/tracks.js:31 | is_archived | WHERE COALESCE(ut.is_deleted, 0) = 0 AND COALESCE(ut.is_archived, 0) = 0
backend/routes/tracks.js:56 | is_deleted | COALESCE(ut.is_deleted, 0) AS is_deleted,
backend/routes/tracks.js:57 | is_archived | COALESCE(ut.is_archived, 0) AS is_archived,
backend/routes/tracks.js:65 | is_deleted | LEFT JOIN courses c ON c.id = tc.course_id AND COALESCE((SELECT uc2.is_deleted FROM user_courses uc2 WHERE uc2.course_id = c.id AND uc2.user_id = ?), 0) = 0 AND COALESCE((SELECT uc2.is_archived FROM user_courses uc2 WHERE uc2.course_id = c.id AND uc2.user_id = ?), 0) = 0
backend/routes/tracks.js:65 | is_archived | LEFT JOIN courses c ON c.id = tc.course_id AND COALESCE((SELECT uc2.is_deleted FROM user_courses uc2 WHERE uc2.course_id = c.id AND uc2.user_id = ?), 0) = 0 AND COALESCE((SELECT uc2.is_archived FROM user_courses uc2 WHERE uc2.course_id = c.id AND uc2.user_id = ?), 0) = 0
backend/routes/tracks.js:68 | is_deleted | WHERE t.slug = ? AND COALESCE(ut.is_deleted, 0) = 0 AND COALESCE(ut.is_archived, 0) = 0
backend/routes/tracks.js:68 | is_archived | WHERE t.slug = ? AND COALESCE(ut.is_deleted, 0) = 0 AND COALESCE(ut.is_archived, 0) = 0
backend/routes/tracks.js:93 | is_deleted | COALESCE(uc.is_deleted, 0) AS is_deleted,
backend/routes/tracks.js:94 | is_archived | COALESCE(uc.is_archived, 0) AS is_archived,
backend/routes/tracks.js:105 | is_deleted | WHERE tc.track_id = ? AND COALESCE(uc.is_deleted, 0) = 0 AND COALESCE(uc.is_archived, 0) = 0
backend/routes/tracks.js:105 | is_archived | WHERE tc.track_id = ? AND COALESCE(uc.is_deleted, 0) = 0 AND COALESCE(uc.is_archived, 0) = 0
backend/routes/admin.js:45 | is_admin | const adminCount = db.prepare('SELECT COUNT(*) AS count FROM users WHERE is_admin = 1').get().count
backend/routes/admin.js:60 | is_deleted | (SELECT COUNT(*) FROM track_courses tc JOIN courses c ON c.id = tc.course_id WHERE tc.track_id = t.id AND c.is_deleted = 0 AND c.is_archived = 0) AS active_course_count
backend/routes/admin.js:60 | is_archived | (SELECT COUNT(*) FROM track_courses tc JOIN courses c ON c.id = tc.course_id WHERE tc.track_id = t.id AND c.is_deleted = 0 AND c.is_archived = 0) AS active_course_count
backend/routes/admin.js:119 | is_deleted | const hasCourses = db.prepare('SELECT COUNT(*) AS count FROM track_courses tc JOIN courses c ON c.id = tc.course_id WHERE tc.track_id = ? AND c.is_deleted = 0').get(trackId).count
backend/routes/admin.js:136 | is_archived | db.prepare('UPDATE tracks SET is_archived = 1 WHERE id = ?').run(trackId)
backend/routes/admin.js:147 | is_deleted | db.prepare('UPDATE tracks SET is_archived = 0, is_deleted = 0 WHERE id = ?').run(trackId)
backend/routes/admin.js:147 | is_archived | db.prepare('UPDATE tracks SET is_archived = 0, is_deleted = 0 WHERE id = ?').run(trackId)
backend/routes/admin.js:161 | is_deleted | if (status === 'deleted') { where += ' AND c.is_deleted = 1' }
backend/routes/admin.js:162 | is_archived | else if (status === 'archived') { where += ' AND c.is_archived = 1' }
backend/routes/admin.js:163 | is_deleted | else if (status === 'active') { where += ' AND c.is_deleted = 0 AND c.is_archived = 0' }
backend/routes/admin.js:163 | is_archived | else if (status === 'active') { where += ' AND c.is_deleted = 0 AND c.is_archived = 0' }
backend/routes/admin.js:471 | is_admin | if (req.body.is_admin !== undefined) { updates.push('is_admin = ?'); values.push(req.body.is_admin ? 1 : 0) }
backend/routes/admin.js:490 | is_admin | const result = db.prepare('INSERT INTO users (username, password_hash, salt, is_admin) VALUES (?, ?, ?, ?)').run(username.trim(), hash, salt, is_admin ? 1 : 0)
backend/routes/admin.js:494 | is_admin | res.json({ success: true, user: { id: userId, username: username.trim(), is_admin: is_admin ? 1 : 0 } })
backend/__tests__/admin.test.js:112 | is_admin | const adminUser = res.body.users.find(u => u.is_admin === 1)
backend/__tests__/admin.test.js:116 | is_admin | const studentUser = res.body.users.find(u => u.is_admin === 0)
backend/__tests__/admin.test.js:154 | is_admin | expect(res.body.is_admin).toBe(1)
backend/__tests__/admin.test.js:157 | is_admin | expect(user.is_admin).toBe(1)
backend/__tests__/auth.test.js:49 | is_admin | expect(res.body.user.is_admin).toBe(0)
backend/__tests__/auth.test.js:137 | is_admin | expect(res.body.user.is_admin).toBe(0)
backend/__tests__/contentScanner.test.js:53 | has_pdf | db.prepare('UPDATE courses SET has_pdf = 0, has_glossary = 0').run()
backend/__tests__/contentScanner.test.js:53 | has_glossary | db.prepare('UPDATE courses SET has_pdf = 0, has_glossary = 0').run()
backend/__tests__/contentScanner.test.js:102 | has_pdf | expect(course.has_pdf).toBe(1)
backend/__tests__/contentScanner.test.js:103 | has_glossary | expect(course.has_glossary).toBe(1)
backend/__tests__/contentScanner.test.js:118 | has_pdf | expect(course.has_pdf).toBe(1)
backend/__tests__/contentScanner.test.js:119 | has_glossary | expect(course.has_glossary).toBe(0)
backend/__tests__/contentScanner.test.js:134 | has_pdf | expect(course.has_pdf).toBe(0)
backend/__tests__/contentScanner.test.js:135 | has_glossary | expect(course.has_glossary).toBe(1)
backend/__tests__/manage.test.js:144 | is_deleted | expect(ut.is_deleted).toBe(1)
backend/__tests__/manage.test.js:145 | is_archived | expect(ut.is_archived).toBe(0)
backend/__tests__/manage.test.js:209 | is_archived | expect(uc.is_archived).toBe(1)
backend/__tests__/manage.test.js:283 | is_archived | expect(ut.is_archived).toBe(1)
backend/__tests__/manage.test.js:284 | is_deleted | expect(ut.is_deleted).toBe(0)
backend/__tests__/manage.test.js:300 | is_deleted | expect(ut.is_deleted).toBe(1)
backend/__tests__/manage.test.js:301 | is_archived | expect(ut.is_archived).toBe(1)
backend/__tests__/manage.test.js:317 | is_deleted | expect(uc.is_deleted).toBe(1)
backend/__tests__/manage.test.js:416 | is_deleted | expect(uc.is_deleted).toBe(0)
backend/__tests__/manage.test.js:440 | is_archived | expect(uc.is_archived).toBe(0)
backend/__tests__/manage.test.js:592 | is_deleted | expect(uc.is_deleted).toBe(1)
backend/__tests__/manage.test.js:593 | is_archived | expect(uc.is_archived).toBe(1)
backend/__tests__/manage.test.js:653 | has_pdf | expect(course.has_pdf).toBe(1)
backend/__tests__/manage.test.js:671 | has_glossary | expect(course.has_glossary).toBe(1)
backend/__tests__/schema.test.js:44 | is_admin | test('creates default admin user with is_admin=1', () => {
backend/__tests__/schema.test.js:47 | is_admin | expect(admin.is_admin).toBe(1)
backend/__tests__/schema.test.js:52 | is_admin | test('creates default wasihunageru user with is_admin=0', () => {
backend/__tests__/schema.test.js:55 | is_admin | expect(user.is_admin).toBe(0)
backend/__tests__/progress.test.js:93 | is_admin | const result = db.prepare('INSERT INTO users (username, password_hash, salt, is_admin) VALUES (?, ?, ?, 0)').run('nostats@test.com', hash, salt)
backend/__tests__/progress.test.js:148 | was_correct | expect(res.body.attempt.was_correct).toBe(1)
backend/__tests__/progress.test.js:168 | was_correct | expect(res.body.attempt.was_correct).toBe(0)
backend/__tests__/progress.test.js:308 | is_admin | const result = db.prepare('INSERT INTO users (username, password_hash, salt, is_admin) VALUES (?, ?, ?, 0)').run('dashnostats@test.com', hash, salt)
backend/__tests__/progress.test.js:514 | is_admin | const result = db.prepare('INSERT INTO users (username, password_hash, salt, is_admin) VALUES (?, ?, ?, 0)').run('noflashcards@test.com', hash, salt)
backend/__tests__/progress.test.js:557 | is_admin | const result = db.prepare('INSERT INTO users (username, password_hash, salt, is_admin) VALUES (?, ?, ?, 0)').run('dashboard-detail@test.com', hash, salt)
backend/__tests__/progress.test.js:620 | is_admin | const result = db.prepare('INSERT INTO users (username, password_hash, salt, is_admin) VALUES (?, ?, ?, 0)').run('zerostats@test.com', hash, salt)
backend/__tests__/progress.test.js:683 | was_correct | expect(res.body.attempt.was_correct).toBe(1)
backend/__tests__/progress.test.js:703 | was_correct | expect(res.body.attempt.was_correct).toBe(1)
backend/__tests__/progress.test.js:757 | is_admin | const result = db.prepare('INSERT INTO users (username, password_hash, salt, is_admin) VALUES (?, ?, ?, 0)').run('duecards-due@test.com', hash, salt)
backend/__tests__/progress.test.js:975 | is_admin | const result = db.prepare('INSERT INTO users (username, password_hash, salt, is_admin) VALUES (?, ?, ?, 0)').run('noweak@test.com', hash, salt)
backend/__tests__/progress.test.js:1010 | is_admin | const result = db.prepare('INSERT INTO users (username, password_hash, salt, is_admin) VALUES (?, ?, ?, 0)').run('noactivity@test.com', hash, salt)
backend/__tests__/progress.test.js:1033 | is_admin | const result = db.prepare('INSERT INTO users (username, password_hash, salt, is_admin) VALUES (?, ?, ?, 0)').run('allcomplete@test.com', hash, salt)
backend/__tests__/progress.test.js:1060 | is_admin | const result = db.prepare('INSERT INTO users (username, password_hash, salt, is_admin) VALUES (?, ?, ?, 0)').run('sm2second@test.com', hash, salt)
backend/__tests__/progress.test.js:1091 | is_admin | const result = db.prepare('INSERT INTO users (username, password_hash, salt, is_admin) VALUES (?, ?, ?, 0)').run('sm2reset@test.com', hash, salt)
backend/__tests__/helpers/testDb.js:26 | is_admin | is_admin INTEGER DEFAULT 0,
backend/__tests__/helpers/testDb.js:44 | is_deleted | is_deleted INTEGER DEFAULT 0,
backend/__tests__/helpers/testDb.js:45 | is_archived | is_archived INTEGER DEFAULT 0
backend/__tests__/helpers/testDb.js:56 | has_pdf | has_pdf INTEGER DEFAULT 0,
backend/__tests__/helpers/testDb.js:57 | has_glossary | has_glossary INTEGER DEFAULT 0,
backend/__tests__/helpers/testDb.js:58 | is_deleted | is_deleted INTEGER DEFAULT 0,
backend/__tests__/helpers/testDb.js:59 | is_archived | is_archived INTEGER DEFAULT 0,
backend/__tests__/helpers/testDb.js:122 | is_deleted | is_deleted INTEGER DEFAULT 0,
backend/__tests__/helpers/testDb.js:123 | is_archived | is_archived INTEGER DEFAULT 0,
backend/__tests__/helpers/testDb.js:134 | is_deleted | is_deleted INTEGER DEFAULT 0,
backend/__tests__/helpers/testDb.js:135 | is_archived | is_archived INTEGER DEFAULT 0,
backend/__tests__/helpers/testDb.js:203 | is_admin | db.prepare(`INSERT INTO users (username, password_hash, salt, is_admin) VALUES (?, ?, ?, 1)`)
backend/__tests__/helpers/testDb.js:205 | is_admin | db.prepare(`INSERT INTO users (username, password_hash, salt, is_admin) VALUES (?, ?, ?, 0)`)
backend/__tests__/helpers/testEnv.js:24 | is_admin | db.prepare(`INSERT INTO users (username, password_hash, salt, is_admin) VALUES (?, ?, ?, 1)`)
backend/__tests__/helpers/testEnv.js:28 | is_admin | db.prepare(`INSERT INTO users (username, password_hash, salt, is_admin) VALUES (?, ?, ?, 0)`)
frontend/src/components/CourseFilter.jsx:265 | is_archived | if (selectedArchive === 'active' && c.is_archived === 1) return false
frontend/src/components/CourseFilter.jsx:266 | is_archived | if (selectedArchive === 'archived' && c.is_archived !== 1) return false
frontend/src/components/CourseFilter.jsx:268 | is_archived | if (c.is_archived === 1) return false
frontend/src/components/CourseFilter.jsx:274 | notes_taken | const taken = c.notes_taken == 1
frontend/src/components/CourseFilter.jsx:327 | is_archived | if (archiveVal === 'active') return baseForArchive.filter((c) => c.is_archived !== 1).length
frontend/src/components/CourseFilter.jsx:328 | is_archived | if (archiveVal === 'archived') return baseForArchive.filter((c) => c.is_archived === 1).length
frontend/src/components/CourseFilter.jsx:334 | notes_taken | const notesTakenCount = baseForNotesTaken.filter(c => c.notes_taken == 1).length
frontend/src/components/CourseFilter.jsx:335 | notes_taken | const notesNotTakenCount = baseForNotesTaken.filter(c => c.notes_taken != 1).length
frontend/src/pages/ManageContent.jsx:355 | is_archived | if (courseFilterArchive === 'active') matchesArchive = course.is_archived !== 1
frontend/src/pages/ManageContent.jsx:356 | is_archived | else if (courseFilterArchive === 'archived') matchesArchive = course.is_archived === 1
frontend/src/pages/ManageContent.jsx:363 | notes_taken | const matchesNotesTaken = courseFilterNotesTaken === 'all' || (courseFilterNotesTaken === 'taken' && course.notes_taken == 1) || (courseFilterNotesTaken === 'not_taken' && course.notes_taken != 1)
frontend/src/pages/ManageContent.jsx:640 | has_pdf | {course.has_pdf === 1 && (
frontend/src/pages/ManageContent.jsx:862 | has_pdf | {course.has_pdf === 1 && <span className="text-[var(--accent-green)] px-2 py-0.5 rounded-full text-[9px] font-bold" style={{ background: 'color-mix(in srgb, var(--accent-green) 15%, transparent)' }}>Available</span>}
frontend/src/pages/ManageContent.jsx:871 | has_glossary | {course.has_glossary === 1 && <span className="text-[var(--accent-green)] px-2 py-0.5 rounded-full text-[9px] font-bold" style={{ background: 'color-mix(in srgb, var(--accent-green) 15%, transparent)' }}>Available</span>}
frontend/src/pages/WranglingSpeedrun.jsx:262 | was_correct | was_correct: isCorrect ? 1 : 0
frontend/src/pages/AdminPanel.jsx:1120 | is_admin | <input type="checkbox" checked={!!editData.is_admin} onChange={e => setEditData({ ...editData, is_admin: e.target.checked ? 1 : 0 })} className="cursor-pointer" />
frontend/src/pages/TrackTest.jsx:236 | was_correct | was_correct: isCorrect ? 1 : 0
frontend/src/pages/StudySession.jsx:207 | was_correct | was_correct: wasCorrect ? 1 : 0
frontend/src/pages/CourseDetail.jsx:533 | has_pdf | {course.has_pdf === 1 && (
frontend/src/pages/CourseDetail.jsx:538 | has_glossary | {course.has_glossary === 1 && (
frontend/src/pages/CourseDetail.jsx:625 | has_pdf | {course.has_pdf === 1 && (
frontend/src/pages/CourseDetail.jsx:633 | has_glossary | {course.has_glossary === 1 && (
frontend/src/pages/ManageCourseDetail.jsx:401 | is_archived | onClick={() => handleCourseAction('archive', course.is_archived === 1 ? false : true)}
frontend/src/pages/ManageCourseDetail.jsx:403 | is_archived | course.is_archived === 1
frontend/src/pages/ManageCourseDetail.jsx:408 | is_archived | {course.is_archived === 1 ? (
frontend/src/pages/Tracks.jsx:247 | notes_taken | const matchesNotesTaken = selectedNotesTaken === 'all' || (selectedNotesTaken === 'taken' && course.notes_taken == 1) || (selectedNotesTaken === 'not_taken' && course.notes_taken != 1)
frontend/src/exercises/IncorrectReview.jsx:300 | was_correct | was_correct: userAnswerCorrect ? 1 : 0
frontend/src/exercises/MatchingGame.jsx:376 | was_correct | was_correct: isCorrect ? 1 : 0
frontend/src/exercises/BossBattle.jsx:373 | was_correct | was_correct: isCorrect ? 1 : 0
frontend/src/exercises/DatasetChallenge.jsx:506 | was_correct | was_correct: data.passed ? 1 : 0,
frontend/src/exercises/Flashcards.jsx:222 | was_correct | was_correct: wasCorrect ? 1 : 0
frontend/src/exercises/Quiz.jsx:238 | was_correct | was_correct: finalCorrect ? 1 : 0
frontend/src/exercises/FillBlank.jsx:399 | was_correct | was_correct: allCorrect ? 1 : 0
frontend/src/__tests__/exercises/MatchingGame.test.jsx:198 | was_correct | expect(body.was_correct).toBe(1)
